   6.2500 6.9596e+06 4.8133e+06 1.0704e+07 4.9918e+06 1.0521e+07 6.1028e+06 8.1160e+06 8.6328e+06 5.8253e+06 7.9627e+06 4.9918e+06 1.0521e+07 5.4870e+06
   6.5000 5.9335e+06 4.1381e+06 9.0310e+06 4.2833e+06 8.8808e+06 5.2263e+06 6.8862e+06 7.3846e+06 4.9638e+06 6.7456e+06 4.2833e+06 8.8808e+06 4.7462e+06
   6.7500 5.0774e+06 3.5698e+06 7.6526e+06 3.6883e+06 7.5289e+06 4.4914e+06 5.8658e+06 6.3355e+06 4.2465e+06 5.7388e+06 3.6883e+06 7.5289e+06 4.1157e+06
   7.0000 4.3612e+06 3.0897e+06 6.5112e+06 3.1869e+06 6.4088e+06 3.8734e+06 5.0168e+06 5.4528e+06 3.6468e+06 4.9021e+06 3.1869e+06 6.4088e+06 3.5782e+06
   7.2500 3.7595e+06 2.6825e+06 5.5619e+06 2.7627e+06 5.4767e+06 3.3518e+06 4.3071e+06 4.7074e+06 3.1432e+06 4.2038e+06 2.7627e+06 5.4767e+06 3.1186e+06
   7.5000 3.2518e+06 2.3360e+06 4.7692e+06 2.4023e+06 4.6980e+06 2.9097e+06 3.7112e+06 4.0758e+06 2.7187e+06 3.6185e+06 2.4023e+06 4.6980e+06 2.7244e+06
   7.7500 2.8219e+06 2.0400e+06 4.1049e+06 2.0950e+06 4.0451e+06 2.5338e+06 3.2090e+06 3.5389e+06 2.3593e+06 3.1262e+06 2.0950e+06 4.0451e+06 2.3853e+06
   8.0000 2.4565e+06 1.7863e+06 3.5461e+06 1.8322e+06 3.4958e+06 2.2129e+06 2.7838e+06 3.0809e+06 2.0540e+06 2.7105e+06 1.8322e+06 3.4958e+06 2.0928e+06
   8.2500 2.1448e+06 1.5684e+06 3.0737e+06 1.6067e+06 3.0312e+06 1.9381e+06 2.4227e+06 2.6893e+06 1.7936e+06 2.3578e+06 1.6067e+06 3.0312e+06 1.8404e+06
   8.5000 1.8780e+06 1.3808e+06 2.6723e+06 1.4129e+06 2.6362e+06 1.7021e+06 2.1148e+06 2.3535e+06 1.5708e+06 2.0569e+06 1.4129e+06 2.6362e+06 1.6224e+06
   8.7500 1.6489e+06 1.2187e+06 2.3302e+06 1.2458e+06 2.2994e+06 1.4986e+06 1.8514e+06 2.0648e+06 1.3796e+06 1.7994e+06 1.2458e+06 2.2994e+06 1.4336e+06
   9.0000 1.4515e+06 1.0783e+06 2.0377e+06 1.1012e+06 2.0114e+06 1.3228e+06 1.6252e+06 1.8159e+06 1.2149e+06 1.5786e+06 1.1012e+06 2.0114e+06 1.2696e+06
   9.2500 1.2810e+06 9.5634e+05 1.7870e+06 9.7574e+05 1.7644e+06 1.1704e+06 1.4305e+06 1.6007e+06 1.0726e+06 1.3886e+06 9.7574e+05 1.7644e+06 1.1268e+06
   9.5000 1.1332e+06 8.5009e+05 1.5715e+06 8.6658e+05 1.5521e+06 1.0380e+06 1.2623e+06 1.4144e+06 9.4935e+05 1.2249e+06 8.6658e+05 1.5521e+06 1.0020e+06
   9.7500 1.0049e+06 7.5728e+05 1.3858e+06 7.7136e+05 1.3690e+06 9.2263e+05 1.1167e+06 1.2525e+06 8.4228e+05 1.0833e+06 7.7136e+05 1.3690e+06 8.9278e+05
  10.0000 8.9315e+05 6.7603e+05 1.2252e+06 6.8807e+05 1.2106e+06 8.2185e+05 9.9023e+05 1.1117e+06 7.4900e+05 9.6049e+05 6.8807e+05 1.2106e+06 7.9706e+05
  10.2500 7.9555e+05 6.0471e+05 1.0857e+06 6.1504e+05 1.0731e+06 7.3360e+05 8.8010e+05 9.8886e+05 6.6750e+05 8.5351e+05 6.1504e+05 1.0731e+06 7.1305e+05
  10.5000 7.1012e+05 5.4197e+05 9.6431e+05 5.5086e+05 9.5334e+05 6.5616e+05 7.8397e+05 8.8148e+05 5.9613e+05 7.6012e+05 5.5086e+05 9.5334e+05 6.3915e+05
  10.7500 6.3519e+05 4.8664e+05 8.5840e+05 4.9432e+05 8.4883e+05 5.8806e+05 6.9986e+05 7.8740e+05 5.3349e+05 6.7837e+05 4.9432e+05 8.4883e+05 5.7399e+05
  11.0000 5.6931e+05 4.3776e+05 7.6578e+05 4.4440e+05 7.5739e+05 5.2804e+05 6.2610e+05 7.0480e+05 4.7838e+05 6.0668e+05 4.4440e+05 7.5739e+05 5.1641e+05
  11.2500 5.1128e+05 3.9448e+05 6.8458e+05 4.0025e+05 6.7721e+05 4.7505e+05 5.6127e+05 6.3214e+05 4.2981e+05 5.4365e+05 4.0025e+05 6.7721e+05 4.6542e+05
  11.5000 4.6006e+05 3.5609e+05 6.1324e+05 3.6110e+05 6.0675e+05 4.2816e+05 5.0419e+05 5.6808e+05 3.8691e+05 4.8813e+05 3.6110e+05 6.0675e+05 4.2019e+05
  11.7500 4.1476e+05 3.2196e+05 5.5044e+05 3.2633e+05 5.4469e+05 3.8661e+05 4.5381e+05 5.1150e+05 3.4894e+05 4.3912e+05 3.2633e+05 5.4469e+05 3.7997e+05
  12.0000 3.7460e+05 2.9157e+05 4.9502e+05 2.9539e+05 4.8992e+05 3.4970e+05 4.0925e+05 4.6142e+05 3.1527e+05 3.9578e+05 2.9539e+05 4.8992e+05 3.4415e+05
